trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,WSLHTZCX,WSLHTZCX,True,0,0,CRC32,,0.0,8,96,64
2,PXRPAUUZ,PXRPAUUZ,True,0,0,CRC32,,0.0,8,96,64
3,RAJJFQKW,RAJJFQKW,True,0,0,CRC32,,0.0,8,96,64
4,XRFNFYSO,XRFNFYSO,True,0,0,CRC32,,0.0,8,96,64
5,OJBGIUEF,OJBGIUEF,True,0,0,CRC32,,0.0,8,96,64
6,PQIIGMCX,PQIIGMCX,True,0,0,CRC32,,0.0,8,96,64
7,SHAUUHBU,SHAUUHBU,True,0,0,CRC32,,0.0,8,96,64
8,HBFBZCDR,HBFBZCDR,True,0,0,CRC32,,0.0,8,96,64
9,TAXIQBJY,TAXIQBJY,True,0,0,CRC32,,0.0,8,96,64
10,SNYRHSVA,SNYRHSVA,True,0,0,CRC32,,0.0,8,96,64
11,IQVMCSRQ,IQVMCSRQ,True,0,0,CRC32,,0.0,8,96,64
12,WTVPHUPW,WTVPHUPW,True,0,0,CRC32,,0.0,8,96,64
13,ANFFTRNB,ANFFTRNB,True,0,0,CRC32,,0.0,8,96,64
14,QSRZRZRB,QSRZRZRB,True,0,0,CRC32,,0.0,8,96,64
15,RAXAQHEX,RAXAQHEX,True,0,0,CRC32,,0.0,8,96,64
16,HUSBWRJZ,HUSBWRJZ,True,0,0,CRC32,,0.0,8,96,64
17,GCOHCTMI,GCOHCTMI,True,0,0,CRC32,,0.0,8,96,64
18,NGWQHODV,NGWQHODV,True,0,0,CRC32,,0.0,8,96,64
19,PPCBFUOO,PPCBFUOO,True,0,0,CRC32,,0.0,8,96,64
20,TATKOKHI,TATKOKHI,True,0,0,CRC32,,0.0,8,96,64
