trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,R,R,True,0,0,CRC32,,0.01,1,40,8
2,Q,Q,True,0,0,CRC32,,0.01,1,40,8
3,Q,,False,0,0,CRC32,,0.01,1,40,0
4,I,I,True,0,0,CRC32,,0.01,1,40,8
5,Z,Z,True,0,0,CRC32,,0.01,1,40,8
6,T,,False,0,0,CRC32,,0.01,1,40,0
7,H,H,True,0,0,CRC32,,0.01,1,40,8
8,J,J,True,0,0,CRC32,,0.01,1,40,8
9,H,,False,0,0,CRC32,,0.01,1,40,0
10,F,,False,0,0,CRC32,,0.01,1,40,0
11,Q,Q,True,0,0,CRC32,,0.01,1,40,8
12,U,U,True,0,0,CRC32,,0.01,1,40,8
13,J,,False,0,0,CRC32,,0.01,1,40,0
14,J,J,True,0,0,CRC32,,0.01,1,40,8
15,I,I,True,0,0,CRC32,,0.01,1,40,8
16,V,,False,0,0,CRC32,,0.01,1,40,0
17,S,S,True,0,0,CRC32,,0.01,1,40,8
18,C,C,True,0,0,CRC32,,0.01,1,40,8
19,P,,False,0,0,CRC32,,0.01,1,40,0
20,I,I,True,0,0,CRC32,,0.01,1,40,8
