trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,ROMHQMRM,ROMHQMRM,True,0,0,HAMMING,7,0.02,8,112,64
2,FVDVTIKC,FVDVTIKC,True,1,1,HAMMING,7,0.02,8,112,64
3,HDTCBOOA,HDTCBOOA,True,1,4,HAMMING,7,0.02,8,112,64
4,INQZMYMV,INQZMYMV,True,1,2,HAMMING,7,0.02,8,112,64
5,EJSNUORC,EJSNUORC,True,1,3,HAMMING,7,0.02,8,112,64
6,AAKABLWA,AAKABLWA,True,1,2,HAMMING,7,0.02,8,112,64
7,QGYEMHGV,QGYEMHGV,True,1,1,HAMMING,7,0.02,8,112,64
8,LUVWCHXW,LUVWCHXW,True,1,6,HAMMING,7,0.02,8,112,64
9,RIQZLEHX,RIQZLEHX,True,1,2,HAMMING,7,0.02,8,112,64
10,RGIILFQU,RGIMLEQU,False,1,3,HAMMING,7,0.02,8,112,0
11,UOUKQEQS,UOUKQEQS,True,1,2,HAMMING,7,0.02,8,112,64
12,MBBRYQDC,MBBRYQDC,True,1,1,HAMMING,7,0.02,8,112,64
13,THXHTEFC,THXHTEFC,True,1,4,HAMMING,7,0.02,8,112,64
14,TCQMGQIL,TCQMGQIL,True,1,1,HAMMING,7,0.02,8,112,64
15,JUDGNNIF,JUDGNNIF,True,1,2,HAMMING,7,0.02,8,112,64
16,FKEWPETX,FKEWPETX,True,1,1,HAMMING,7,0.02,8,112,64
17,AMSAVHWK,AMSAVHWK,True,1,1,HAMMING,7,0.02,8,112,64
18,IRORRPXG,IRORRPXG,True,1,1,HAMMING,7,0.02,8,112,64
19,QPJQKCWX,QPJQKCWX,True,1,1,HAMMING,7,0.02,8,112,64
20,VBSNOICK,VBSNOICK,True,1,1,HAMMING,7,0.02,8,112,64
