trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,Y,Y,True,0,0,HAMMING,7,0.01,1,14,8
2,B,B,True,0,0,HAMMING,7,0.01,1,14,8
3,Y,Y,True,0,0,HAMMING,7,0.01,1,14,8
4,C,C,True,0,0,HAMMING,7,0.01,1,14,8
5,F,F,True,0,0,HAMMING,7,0.01,1,14,8
6,L,L,True,0,0,HAMMING,7,0.01,1,14,8
7,U,U,True,0,0,HAMMING,7,0.01,1,14,8
8,S,S,True,0,0,HAMMING,7,0.01,1,14,8
9,O,O,True,0,0,HAMMING,7,0.01,1,14,8
10,E,E,True,0,0,HAMMING,7,0.01,1,14,8
11,Q,Q,True,0,0,HAMMING,7,0.01,1,14,8
12,W,W,True,0,0,HAMMING,7,0.01,1,14,8
13,W,W,True,0,0,HAMMING,7,0.01,1,14,8
14,I,I,True,0,0,HAMMING,7,0.01,1,14,8
15,W,W,True,0,0,HAMMING,7,0.01,1,14,8
16,U,U,True,0,0,HAMMING,7,0.01,1,14,8
17,V,V,True,0,0,HAMMING,7,0.01,1,14,8
18,D,D,True,1,1,HAMMING,7,0.01,1,14,8
19,T,T,True,0,0,HAMMING,7,0.01,1,14,8
20,G,G,True,0,0,HAMMING,7,0.01,1,14,8
