trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,OCNJYQTJ,OCNJYQTJ,True,1,2,HAMMING,15,0.02,8,90,64
2,SWXWBWKR,SWXWBWKR,True,1,2,HAMMING,15,0.02,8,90,64
3,AQRJQJGW,AQRJAZGW,False,1,1,HAMMING,15,0.02,8,90,0
4,PDBNWSFV,PDBNWSFV,True,0,0,HAMMING,15,0.02,8,90,64
5,UDLJBJGM,UDLJBJGd,False,1,3,HAMMING,15,0.02,8,90,0
6,LIYSLFUX,LIYSLFUÐ,False,1,2,HAMMING,15,0.02,8,90,0
7,IZJIYDIA,IZJIYDIA,True,1,1,HAMMING,15,0.02,8,90,64
8,KBFZDNDW,KBFZDNDW,True,0,0,HAMMING,15,0.02,8,90,64
9,YBGODELV,YBGODEFV,False,1,1,HAMMING,15,0.02,8,90,0
10,DPGHCAOP,DPGHCAOR,False,1,1,HAMMING,15,0.02,8,90,0
11,FUKKZXWD,FUKKZXWD,True,1,2,HAMMING,15,0.02,8,90,64
12,UFXXBGDW,UFXXBGDW,True,0,0,HAMMING,15,0.02,8,90,64
13,HEDUNAML,HEDENAML,False,1,2,HAMMING,15,0.02,8,90,0
14,JAAZCFQH,JAAZCFQH,True,1,2,HAMMING,15,0.02,8,90,64
15,ZEQMITEW,ZEQMITEW,True,1,1,HAMMING,15,0.02,8,90,64
16,RQRLYRKH,RQRLYRKH,True,1,3,HAMMING,15,0.02,8,90,64
17,HCGGSHIP,HCGGSHIP,True,0,0,HAMMING,15,0.02,8,90,64
18,SOLAVQQY,SOLAVSÙY,False,1,2,HAMMING,15,0.02,8,90,0
19,YAXGYZHC,YAXGYZHC,True,0,0,HAMMING,15,0.02,8,90,64
20,MFTHKZMI,MFTHKZMI,True,1,3,HAMMING,15,0.02,8,90,64
