trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,DNOUNEGH,DNOUNEGH,True,0,0,HAMMING,15,0.0,8,90,64
2,GVVJGPNX,GVVJGPNX,True,0,0,HAMMING,15,0.0,8,90,64
3,USHCCPGO,USHCCPGO,True,0,0,HAMMING,15,0.0,8,90,64
4,HFAYOUWM,HFAYOUWM,True,0,0,HAMMING,15,0.0,8,90,64
5,STKWAWAJ,STKWAWAJ,True,0,0,HAMMING,15,0.0,8,90,64
6,CBBNHSLU,CBBNHSLU,True,0,0,HAMMING,15,0.0,8,90,64
7,XRTFKVLN,XRTFKVLN,True,0,0,HAMMING,15,0.0,8,90,64
8,BUOHRVHP,BUOHRVHP,True,0,0,HAMMING,15,0.0,8,90,64
9,MISRPKDE,MISRPKDE,True,0,0,HAMMING,15,0.0,8,90,64
10,MHTPRPBK,MHTPRPBK,True,0,0,HAMMING,15,0.0,8,90,64
11,TJSBDQUT,TJSBDQUT,True,0,0,HAMMING,15,0.0,8,90,64
12,CILRVAKX,CILRVAKX,True,0,0,HAMMING,15,0.0,8,90,64
13,AJQHIHVO,AJQHIHVO,True,0,0,HAMMING,15,0.0,8,90,64
14,GIXOUJIF,GIXOUJIF,True,0,0,HAMMING,15,0.0,8,90,64
15,KKTVGGQR,KKTVGGQR,True,0,0,HAMMING,15,0.0,8,90,64
16,YFBLTLPZ,YFBLTLPZ,True,0,0,HAMMING,15,0.0,8,90,64
17,BSPDCWME,BSPDCWME,True,0,0,HAMMING,15,0.0,8,90,64
18,TTQSRCTZ,TTQSRCTZ,True,0,0,HAMMING,15,0.0,8,90,64
19,ZKYTBJEW,ZKYTBJEW,True,0,0,HAMMING,15,0.0,8,90,64
20,BIOTCULG,BIOTCULG,True,0,0,HAMMING,15,0.0,8,90,64
