trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,D,D,True,0,0,HAMMING,7,0.02,1,14,8
2,M,M,True,0,0,HAMMING,7,0.02,1,14,8
3,O,O,True,0,0,HAMMING,7,0.02,1,14,8
4,T,T,True,0,0,HAMMING,7,0.02,1,14,8
5,D,D,True,0,0,HAMMING,7,0.02,1,14,8
6,L,L,True,0,0,HAMMING,7,0.02,1,14,8
7,V,V,True,0,0,HAMMING,7,0.02,1,14,8
8,F,F,True,1,1,HAMMING,7,0.02,1,14,8
9,P,P,True,0,0,HAMMING,7,0.02,1,14,8
10,T,T,True,0,0,HAMMING,7,0.02,1,14,8
11,C,C,True,0,0,HAMMING,7,0.02,1,14,8
12,G,G,True,0,0,HAMMING,7,0.02,1,14,8
13,R,R,True,0,0,HAMMING,7,0.02,1,14,8
14,Q,Q,True,1,1,HAMMING,7,0.02,1,14,8
15,W,W,True,1,1,HAMMING,7,0.02,1,14,8
16,X,X,True,0,0,HAMMING,7,0.02,1,14,8
17,X,X,True,0,0,HAMMING,7,0.02,1,14,8
18,Q,Q,True,0,0,HAMMING,7,0.02,1,14,8
19,O,O,True,0,0,HAMMING,7,0.02,1,14,8
20,P,P,True,0,0,HAMMING,7,0.02,1,14,8
