trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,S,S,True,0,0,HAMMING,15,0.01,1,15,8
2,H,H,True,0,0,HAMMING,15,0.01,1,15,8
3,V,V,True,0,0,HAMMING,15,0.01,1,15,8
4,W,W,True,0,0,HAMMING,15,0.01,1,15,8
5,Z,Z,True,0,0,HAMMING,15,0.01,1,15,8
6,A,A,True,0,0,HAMMING,15,0.01,1,15,8
7,P,P,True,0,0,HAMMING,15,0.01,1,15,8
8,D,D,True,0,0,HAMMING,15,0.01,1,15,8
9,R,R,True,0,0,HAMMING,15,0.01,1,15,8
10,D,D,True,0,0,HAMMING,15,0.01,1,15,8
11,V,V,True,0,0,HAMMING,15,0.01,1,15,8
12,J,J,True,0,0,HAMMING,15,0.01,1,15,8
13,F,F,True,0,0,HAMMING,15,0.01,1,15,8
14,O,O,True,0,0,HAMMING,15,0.01,1,15,8
15,H,H,True,0,0,HAMMING,15,0.01,1,15,8
16,T,T,True,0,0,HAMMING,15,0.01,1,15,8
17,I,I,True,0,0,HAMMING,15,0.01,1,15,8
18,Q,Q,True,0,0,HAMMING,15,0.01,1,15,8
19,Q,Q,True,0,0,HAMMING,15,0.01,1,15,8
20,W,W,True,0,0,HAMMING,15,0.01,1,15,8
