trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,E,E,True,1,1,HAMMING,15,0.02,1,15,8
2,R,R,True,0,0,HAMMING,15,0.02,1,15,8
3,J,Ë,False,1,1,HAMMING,15,0.02,1,15,0
4,C,C,True,1,1,HAMMING,15,0.02,1,15,8
5,G,G,True,1,1,HAMMING,15,0.02,1,15,8
6,M,M,True,1,1,HAMMING,15,0.02,1,15,8
7,S,S,True,0,0,HAMMING,15,0.02,1,15,8
8,R,R,True,0,0,HAMMING,15,0.02,1,15,8
9,B,B,True,1,1,HAMMING,15,0.02,1,15,8
10,D,D,True,0,0,HAMMING,15,0.02,1,15,8
11,W,W,True,1,1,HAMMING,15,0.02,1,15,8
12,R,R,True,0,0,HAMMING,15,0.02,1,15,8
13,K,K,True,0,0,HAMMING,15,0.02,1,15,8
14,T,T,True,0,0,HAMMING,15,0.02,1,15,8
15,X,X,True,1,1,HAMMING,15,0.02,1,15,8
16,S,S,True,0,0,HAMMING,15,0.02,1,15,8
17,V,V,True,0,0,HAMMING,15,0.02,1,15,8
18,G,G,True,0,0,HAMMING,15,0.02,1,15,8
19,H,H,True,0,0,HAMMING,15,0.02,1,15,8
20,S,S,True,0,0,HAMMING,15,0.02,1,15,8
