trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,G,G,True,0,0,CRC32,,0.0,1,40,8
2,U,U,True,0,0,CRC32,,0.0,1,40,8
3,N,N,True,0,0,CRC32,,0.0,1,40,8
4,N,N,True,0,0,CRC32,,0.0,1,40,8
5,A,A,True,0,0,CRC32,,0.0,1,40,8
6,I,I,True,0,0,CRC32,,0.0,1,40,8
7,Y,Y,True,0,0,CRC32,,0.0,1,40,8
8,A,A,True,0,0,CRC32,,0.0,1,40,8
9,Y,Y,True,0,0,CRC32,,0.0,1,40,8
10,U,U,True,0,0,CRC32,,0.0,1,40,8
11,E,E,True,0,0,CRC32,,0.0,1,40,8
12,O,O,True,0,0,CRC32,,0.0,1,40,8
13,J,J,True,0,0,CRC32,,0.0,1,40,8
14,F,F,True,0,0,CRC32,,0.0,1,40,8
15,J,J,True,0,0,CRC32,,0.0,1,40,8
16,P,P,True,0,0,CRC32,,0.0,1,40,8
17,A,A,True,0,0,CRC32,,0.0,1,40,8
18,T,T,True,0,0,CRC32,,0.0,1,40,8
19,H,H,True,0,0,CRC32,,0.0,1,40,8
20,U,U,True,0,0,CRC32,,0.0,1,40,8
