trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,VYVMVWGL,VYVMVWGL,True,0,0,HAMMING,7,0.0,8,112,64
2,XBOBUWCR,XBOBUWCR,True,0,0,HAMMING,7,0.0,8,112,64
3,BOFGKTQN,BOFGKTQN,True,0,0,HAMMING,7,0.0,8,112,64
4,QQZVVCDW,QQZVVCDW,True,0,0,HAMMING,7,0.0,8,112,64
5,MYBKGZTN,MYBKGZTN,True,0,0,HAMMING,7,0.0,8,112,64
6,DQVGQOGM,DQVGQOGM,True,0,0,HAMMING,7,0.0,8,112,64
7,QHZLBVLF,QHZLBVLF,True,0,0,HAMMING,7,0.0,8,112,64
8,JTUTZGKY,JTUTZGKY,True,0,0,HAMMING,7,0.0,8,112,64
9,MELRMETZ,MELRMETZ,True,0,0,HAMMING,7,0.0,8,112,64
10,HOVIGBNF,HOVIGBNF,True,0,0,HAMMING,7,0.0,8,112,64
11,BXUOYTSA,BXUOYTSA,True,0,0,HAMMING,7,0.0,8,112,64
12,IJNBHYJZ,IJNBHYJZ,True,0,0,HAMMING,7,0.0,8,112,64
13,MRWFFTNA,MRWFFTNA,True,0,0,HAMMING,7,0.0,8,112,64
14,EYAQZNWO,EYAQZNWO,True,0,0,HAMMING,7,0.0,8,112,64
15,IFTBGWLF,IFTBGWLF,True,0,0,HAMMING,7,0.0,8,112,64
16,RTWGYHAA,RTWGYHAA,True,0,0,HAMMING,7,0.0,8,112,64
17,FLUNDFDB,FLUNDFDB,True,0,0,HAMMING,7,0.0,8,112,64
18,BODMDZZD,BODMDZZD,True,0,0,HAMMING,7,0.0,8,112,64
19,FKLTOCTB,FKLTOCTB,True,0,0,HAMMING,7,0.0,8,112,64
20,NPJFKWGQ,NPJFKWGQ,True,0,0,HAMMING,7,0.0,8,112,64
