trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,QKDTHTKK,QKDTHTKK,True,0,0,HAMMING,15,0.01,8,90,64
2,GKIJDXMS,GKIJDXMS,True,0,0,HAMMING,15,0.01,8,90,64
3,GAIPIAPT,GAIPIAPT,True,1,1,HAMMING,15,0.01,8,90,64
4,VDLEZHIR,VDLEZHIR,True,1,2,HAMMING,15,0.01,8,90,64
5,PNJFVAYI,PNJFVAYI,True,0,0,HAMMING,15,0.01,8,90,64
6,ZMPUYCEX,ZMPUYCEX,True,0,0,HAMMING,15,0.01,8,90,64
7,VIEQAXNK,VIEQAXNK,True,1,1,HAMMING,15,0.01,8,90,64
8,BWVXYIAA,BWVXYIAA,True,0,0,HAMMING,15,0.01,8,90,64
9,HXNSHKOE,HXNSHKOE,True,1,1,HAMMING,15,0.01,8,90,64
10,OPDRECLY,OPDRECLY,True,1,2,HAMMING,15,0.01,8,90,64
11,DJLQSRWZ,DJLQSRWZ,True,1,2,HAMMING,15,0.01,8,90,64
12,MXZLUQJJ,MXZLUQJJ,True,1,1,HAMMING,15,0.01,8,90,64
13,QSWOSRUU,QSWOSRUU,True,1,1,HAMMING,15,0.01,8,90,64
14,QHIJWSEW,QHIJWSEW,True,0,0,HAMMING,15,0.01,8,90,64
15,SEGBDIIH,SEGBDIIH,True,1,1,HAMMING,15,0.01,8,90,64
16,AVHJMZSX,AVHJMZSX,True,1,1,HAMMING,15,0.01,8,90,64
17,KTBWOXKZ,KTBWLXKZ,False,1,2,HAMMING,15,0.01,8,90,0
18,ZYUNHETT,ZYUNHETT,True,1,1,HAMMING,15,0.01,8,90,64
19,EKEZXRXQ,EKEZXRXQ,True,1,1,HAMMING,15,0.01,8,90,64
20,YHPRFMCD,YHPRFMCD,True,1,2,HAMMING,15,0.01,8,90,64
