trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,ZARTZOPE,ZARTZOPE,True,1,1,HAMMING,7,0.01,8,112,64
2,PTSCIOZG,PTSCIOZG,True,0,0,HAMMING,7,0.01,8,112,64
3,NYDBOUXP,NYDBOUXP,True,0,0,HAMMING,7,0.01,8,112,64
4,SIJGFRZS,SIJGFRZS,True,1,1,HAMMING,7,0.01,8,112,64
5,VCTSJQKQ,VCTSJQKQ,True,0,0,HAMMING,7,0.01,8,112,64
6,PAHURDZC,PAHURDZC,True,1,2,HAMMING,7,0.01,8,112,64
7,RXKVNZXT,RXKVNZXT,True,1,1,HAMMING,7,0.01,8,112,64
8,ZIDWRGIC,ZIDWRGIC,True,0,0,HAMMING,7,0.01,8,112,64
9,AFNWQEIL,AFNWQEIL,True,0,0,HAMMING,7,0.01,8,112,64
10,QHQEBQBX,QHQEBQBX,True,1,1,HAMMING,7,0.01,8,112,64
11,LOGBIOOZ,LOGBIOOZ,True,0,0,HAMMING,7,0.01,8,112,64
12,BZWFCMCG,BZWFCMCG,True,1,1,HAMMING,7,0.01,8,112,64
13,HYKLZYET,HYKLZYET,True,0,0,HAMMING,7,0.01,8,112,64
14,TTDNXBTP,TTDNXBTP,True,0,0,HAMMING,7,0.01,8,112,64
15,SUOWRNWC,SUOWRNWC,True,1,2,HAMMING,7,0.01,8,112,64
16,NLFMXPDM,NLFMXPDM,True,1,3,HAMMING,7,0.01,8,112,64
17,OQTBPXST,OQTBPXST,True,0,0,HAMMING,7,0.01,8,112,64
18,OMQOTUFE,OMQOTUFE,True,0,0,HAMMING,7,0.01,8,112,64
19,UIPNRNWF,UIPNRNWF,True,1,2,HAMMING,7,0.01,8,112,64
20,TMZGINYF,TMZGINYF,True,1,2,HAMMING,7,0.01,8,112,64
